Year,F1,OA
2018,75.69508165956772,76.2934362934363
2019,76.37070211415087,76.75675675675674
2020,70.21149853251919,70.73359073359073
2021,74.805163713194,75.5984555984556
2022,68.14834997367154,68.57142857142857
2023,72.78118391797464,73.12741312741312
2024,69.57725050572526,69.72972972972973
