Year,F1,OA
2018,92.04343742829732,92.12355212355214
2019,92.38533282625474,92.43243243243244
2020,91.63481252350223,91.73745173745174
2021,92.07423749087214,92.12355212355212
2022,90.16991605604758,90.1930501930502
2023,88.48470342403094,88.57142857142858
2024,87.50454441873262,87.49034749034749
