Year,F1,OA
2018,74.87662457284102,76.52509652509653
2019,76.0782212537185,76.67953667953667
2020,73.03324163865311,73.8996138996139
2021,75.48683702920796,76.67953667953668
2022,69.76687971351022,70.5019305019305
2023,73.59940249146281,74.5945945945946
2024,68.90328423023125,69.57528957528957
